ClientsCount: 10
ArraySize: 500
ArchType: MULTI_WITH_WRITE
changingParameter: REQUEST_DELAY
timeDelay: 1
requestCount: 10
minVal: 1
maxVal: 1001
increment: 100
xValues	SORTING_TIME	SERVER_TIME	CLIENT_TIME
11
1	3	9	97
101	6	17	183
201	9	23	285
301	11	29	372
401	14	34	470
501	18	42	554
601	21	51	652
701	24	59	747
801	28	66	830
901	31	73	913
1001	33	80	1013
