ClientsCount: 10
ArraySize: 300
ArchType: MULTI_WITH_WRITE
changingParameter: ARRAY_SIZE
timeDelay: 10
requestCount: 10
minVal: 300
maxVal: 1300
increment: 100
xValues	SORTING_TIME	SERVER_TIME	CLIENT_TIME
11
300	2	18	100
400	4	28	194
500	6	39	275
600	9	50	301
700	14	59	320
800	20	71	343
900	23	77	360
1000	29	88	388
1100	35	101	416
1200	42	119	449
1300	51	136	480
